GEOID,sovi,rank
g01001,-0.26392308401302583,2589.0
g01003,-0.1378314295728086,2237.0
g01005,0.2722420191847571,513.0
g01007,-0.07038697183203682,1964.0
g01009,-0.03574454558408938,1796.0
g01011,0.21753016443242285,678.0
g01013,0.4875147027128148,148.0
g01015,0.08619873008527029,1201.0
g01017,0.33887753665261633,350.0
g01019,0.04835154215396864,1391.0
g01021,-0.015425873718240168,1701.0
g01023,0.28726927955821213,476.0
g01025,0.33697224195407793,354.0
g01027,0.21760273574011502,677.0
g01029,0.13326477891748068,1001.0
g01031,-0.010525469768314602,1676.0
g01033,0.013574074998895999,1557.0
g01035,0.5268294258065024,122.0
g01037,0.1777050029298313,822.0
g01039,0.2810325132249051,493.0
g01041,0.16152893905110216,884.0
g01043,0.028980492646888054,1470.0
g01045,-0.03440680758435828,1793.0
g01047,0.5789871336520084,90.0
g01049,0.1542750468445253,923.0
g01051,-0.21415930691397683,2454.0
g01053,0.2790460208150778,499.0
g01055,0.12320334328842034,1040.0
g01057,0.19875115842122912,736.0
g01059,0.11477824628941213,1083.0
g01061,0.20055311944461318,733.0
g01063,0.6342807231111737,75.0
g01065,0.49158852207533194,145.0
g01067,0.19770306753861536,745.0
g01069,0.025452048632928867,1492.0
g01071,0.029667999486941404,1468.0
g01073,-0.07452331518029534,1981.0
g01075,0.188080180253131,785.0
g01077,0.02093370491501617,1517.0
g01079,0.03160955364064191,1458.0
g01081,-0.3490604854974159,2776.0
g01083,-0.22342263073512625,2480.0
g01085,0.4429927940739167,197.0
g01087,0.5416967574976319,110.0
g01089,-0.39535242295753437,2851.0
g01091,0.35063839766883714,328.0
g01093,0.23533340174909811,624.0
g01095,0.09685364255967616,1157.0
g01097,-0.007258040787922457,1657.0
g01099,0.3561321093706307,317.0
g01101,0.004036662585978165,1595.0
g01103,-0.08811235505580978,2046.0
g01105,0.7561129020675076,41.0
g01107,0.4026006649507691,251.0
g01109,0.1297204947575523,1017.0
g01111,0.27156190456584456,515.0
g01113,0.2381735107224332,611.0
g01115,-0.19122138025156638,2409.0
g01117,-0.6100454454554772,3039.0
g01119,0.7841572666747114,33.0
g01121,0.16549209736572731,873.0
g01123,0.27463256836993033,506.0
g01125,-0.1427516796172399,2249.0
g01127,0.19201060859942148,766.0
g01129,-0.05539719243893579,1889.0
g01131,0.7848005190008813,32.0
g01133,0.25729481522976516,554.0
g02013,-0.8839335580584349,3122.0
g02016,-0.8722384313614214,3121.0
g02020,-0.6990321580461943,3075.0
g02050,0.41405649224039937,234.0
g02060,-0.5290557067928074,2976.0
g02068,-0.5765782712677276,3015.0
g02070,0.20700375582625347,710.0
g02090,-0.7410754839030536,3093.0
g02100,-0.5607468356195336,3001.0
g02105,0.010337357567955563,1569.0
g02110,-0.7516927401626238,3094.0
g02122,-0.413359232443794,2875.0
g02130,-0.5165370799798563,2965.0
g02150,-0.6017775246576657,3032.0
g02164,0.3968661280988134,255.0
g02170,-0.6100437369405196,3038.0
g02180,0.33847910099595907,352.0
g02185,-0.2208420445375766,2473.0
g02188,0.40339841519956876,249.0
g02195,-0.48046847162033757,2943.0
g02198,-0.2459885674518832,2541.0
g02220,-0.4649302270099994,2930.0
g02230,-0.7158243798704853,3083.0
g02240,-0.5114858329487335,2964.0
g02261,-0.5337501461371614,2980.0
g02270,0.85976358491182,18.0
g02275,0.02623262208909219,1488.0
g02282,-0.6183515056503521,3041.0
g02290,0.4570364469236215,182.0
g04001,0.7756200504127968,37.0
g04003,0.1852058076795322,791.0
g04005,-0.09645503496538968,2084.0
g04007,0.543011150923353,108.0
g04009,0.10608913211097508,1120.0
g04011,0.05275350940423462,1368.0
g04012,0.7863899720274642,30.0
g04013,-0.16899807712043416,2353.0
g04015,0.35980631636782123,308.0
g04017,0.47218959081995016,164.0
g04019,0.08566315916793928,1202.0
g04021,-0.0069928263466707,1655.0
g04023,0.6576385806196766,69.0
g04025,0.1984823908387357,737.0
g04027,0.4812532886621611,156.0
g05001,0.08100470901002976,1227.0
g05003,0.1037504958891126,1132.0
g05005,0.4085271089962122,243.0
g05007,-0.28218024431094335,2639.0
g05009,0.0745099972546717,1264.0
g05011,0.30529506852692784,421.0
g05013,0.004409927764188276,1592.0
g05015,0.18819979072976867,783.0
g05017,0.6850712772315638,58.0
g05019,0.22690131675194875,650.0
g05021,0.18192000442507783,805.0
g05023,0.25945413418241564,549.0
g05025,0.03440539984678845,1442.0
g05027,0.29258749758109825,461.0
g05029,0.16276292497363465,879.0
g05031,-0.09065410460612952,2059.0
g05033,0.022197525517367228,1506.0
g05035,0.19794482611306824,741.0
g05037,0.12134878371608772,1044.0
g05039,0.252373007262601,569.0
g05041,0.43651876885677654,204.0
g05043,0.17505130902953203,833.0
g05045,-0.33153737014816836,2739.0
g05047,0.16119816075231433,886.0
g05049,0.4027293831037289,250.0
g05051,0.1922055211651582,765.0
g05053,-0.20418999065745683,2435.0
g05055,-0.02841608634786671,1770.0
g05057,0.3524910907338853,326.0
g05059,0.0584154801838422,1329.0
g05061,0.3812053721025318,280.0
g05063,0.13225106756847674,1003.0
g05065,0.3074835158277951,418.0
g05067,0.321567309464877,389.0
g05069,0.22728534086371693,646.0
g05071,0.08429472940922514,1212.0
g05073,0.5686456063561821,97.0
g05075,0.34862723060743,335.0
g05077,0.5781069223085608,91.0
g05079,0.02798616907962226,1476.0
g05081,0.1559207841820454,914.0
g05083,0.13684277163172529,992.0
g05085,-0.21989777255859522,2470.0
g05087,0.09517544848646949,1166.0
g05089,0.33853012444655706,351.0
g05091,0.049354010759447696,1387.0
g05093,0.19403868157196638,760.0
g05095,0.5349385270932976,117.0
g05097,0.3798534812424442,285.0
g05099,0.2692363090720542,527.0
g05101,0.197954440404763,740.0
g05103,0.27318839144364915,510.0
g05105,0.033566049312253016,1446.0
g05107,0.6702740221398227,66.0
g05109,0.2118617647033335,698.0
g05111,0.34584050074596884,341.0
g05113,0.23672975483432313,619.0
g05115,-0.058985589656682214,1906.0
g05117,0.2785382706142481,500.0
g05119,-0.12977639965172488,2207.0
g05121,0.23053030825129614,639.0
g05123,0.31435743674538846,403.0
g05125,-0.27362404890838593,2617.0
g05127,0.16828494489511187,859.0
g05129,0.5252926094837416,124.0
g05131,-0.012291591580213472,1689.0
g05133,0.40443038516644275,247.0
g05135,0.41483606551516183,232.0
g05137,0.37024293408643816,295.0
g05139,0.1815745598445431,807.0
g05141,0.3678615539649929,298.0
g05143,-0.19897224139129782,2423.0
g05145,-0.059649997449804544,1910.0
g05147,0.47483302643558717,160.0
g05149,0.2711798517873326,518.0
g06001,-0.5771535467460089,3016.0
g06003,-0.19319498440485694,2411.0
g06005,-0.10750789118878587,2126.0
g06007,0.001525729751100574,1605.0
g06009,-0.11914247985644645,2172.0
g06011,0.21984112491044433,670.0
g06013,-0.5710255419346519,3012.0
g06015,0.15954319885130408,896.0
g06017,-0.4744579694514246,2939.0
g06019,0.17147363667234608,841.0
g06021,0.1656861316132947,871.0
g06023,-0.14706027981127334,2264.0
g06025,0.6225471806570337,77.0
g06027,0.04374497251785266,1408.0
g06029,0.12416232369967012,1033.0
g06031,-0.0046610589184999385,1638.0
g06033,0.22588817786997567,653.0
g06035,-0.3683583183990274,2807.0
g06037,-0.12252523268660337,2187.0
g06039,0.2952808243145864,448.0
g06041,-0.9132981890909578,3129.0
g06043,0.09450257333063664,1170.0
g06045,0.0606412307299725,1318.0
g06047,0.2520960220963137,571.0
g06049,0.3301151004279006,372.0
g06051,-0.3144662523851791,2708.0
g06053,0.007932609695749063,1578.0
g06055,-0.3206082098989056,2718.0
g06057,-0.2746471244761278,2623.0
g06059,-0.5470061686618023,2986.0
g06061,-0.5102665552370658,2962.0
g06063,0.08533054334198689,1204.0
g06065,-0.05713604415256822,1898.0
g06067,-0.19492511616228542,2414.0
g06069,-0.1607498999715688,2321.0
g06071,-0.04878929601775113,1855.0
g06073,-0.3979394425904382,2857.0
g06075,-0.5968047512949612,3026.0
g06077,-0.05963981522477407,1909.0
g06079,-0.37179979466265745,2817.0
g06081,-0.8321055690149975,3118.0
g06083,-0.2197182710249091,2469.0
g06085,-0.9197561810598298,3132.0
g06087,-0.4591215440311131,2926.0
g06089,-0.004168309695766238,1634.0
g06091,0.20917836207396728,702.0
g06093,0.16977474979155766,849.0
g06095,-0.36014011221109615,2796.0
g06097,-0.3360324083586732,2752.0
g06099,0.03300181105798769,1452.0
g06101,-0.00837207794402014,1666.0
g06103,0.20166887177228018,730.0
g06105,0.15749188578671283,906.0
g06107,0.30330691284548944,427.0
g06109,0.008415281400305931,1575.0
g06111,-0.4491903237581898,2910.0
g06113,-0.3530185193096144,2782.0
g06115,0.005104063206374451,1588.0
g08001,-0.22871307705120533,2495.0
g08003,-0.007085648986046241,1656.0
g08005,-0.46271844043921634,2929.0
g08007,-0.24641445848913635,2543.0
g08009,0.2703939204091106,523.0
g08011,0.06846304023987046,1294.0
g08013,-0.7711994204953548,3101.0
g08014,-0.8112491112481754,3111.0
g08015,-0.2426288860079086,2531.0
g08017,-0.018101311306875895,1716.0
g08019,-0.6595699985122105,3058.0
g08021,0.32980727208863936,374.0
g08023,0.6895352199259117,56.0
g08025,-0.2471277163250484,2545.0
g08027,-0.1406771102091923,2244.0
g08029,0.008686316095490643,1573.0
g08031,-0.22103342506656892,2474.0
g08033,-0.08177498150348379,2016.0
g08035,-1.105494057369896,3138.0
g08037,-0.6901175917964949,3072.0
g08039,-0.8247442250966777,3114.0
g08041,-0.445958269567933,2906.0
g08043,-0.0255498453127062,1753.0
g08045,-0.4682075344088459,2934.0
g08047,-0.6437229391221037,3051.0
g08049,-0.5639384527323555,3004.0
g08051,-0.6609473516462434,3059.0
g08053,0.1466500227482559,943.0
g08055,0.5255799385086066,123.0
g08057,-0.08094469343515041,2013.0
g08059,-0.5669335365273939,3008.0
g08061,-0.014890150707959682,1698.0
g08063,-0.10731794152712831,2124.0
g08065,-0.25437895917705533,2565.0
g08067,-0.5219124976135135,2968.0
g08069,-0.5294548918196428,2977.0
g08071,0.20640289630382624,714.0
g08073,0.004297510891257725,1593.0
g08075,-0.16230628980948913,2326.0
g08077,-0.26268423254884626,2584.0
g08079,0.04438293732242128,1403.0
g08081,-0.30548548442005596,2686.0
g08083,-0.03424075801242552,1792.0
g08085,-0.042813532296326375,1828.0
g08087,0.11695550854936651,1070.0
g08089,0.447690320947446,193.0
g08091,-0.40480382713772894,2864.0
g08093,-0.6253971287008896,3043.0
g08095,0.26478526279262754,539.0
g08097,-0.9168015397980593,3131.0
g08099,0.24188663065135185,596.0
g08101,0.19037562936766245,772.0
g08103,-0.33481881615389775,2747.0
g08105,0.2919256320529788,464.0
g08107,-0.8301123149504547,3116.0
g08109,0.21423421284206362,688.0
g08111,-0.5542094071430972,2990.0
g08113,-0.9341671764556612,3134.0
g08115,0.3309382096572334,367.0
g08117,-0.7597988637679913,3097.0
g08119,-0.3412757048846949,2760.0
g08121,-0.15131729766868596,2282.0
g08123,-0.3292151116072564,2734.0
g08125,-0.05281013241919292,1878.0
g09001,-0.6643180081596045,3060.0
g09003,-0.21953964343297755,2466.0
g09005,-0.4584907928141364,2923.0
g09007,-0.5591759679371425,2997.0
g09009,-0.20818651053513684,2440.0
g09011,-0.3531145572085752,2783.0
g09013,-0.7037949219495238,3078.0
g09015,-0.19063174725653242,2406.0
g10001,-0.11046709883972923,2136.0
g10003,-0.3634981905476053,2799.0
g10005,0.1410426898750098,971.0
g11001,-0.25327533600759977,2562.0
g12001,-0.2581176764472234,2569.0
g12003,-0.09468970992537555,2078.0
g12005,-0.10948479750978937,2133.0
g12007,0.09281357038257854,1176.0
g12009,-0.024355108701429623,1747.0
g12011,-0.06979530663538511,1956.0
g12013,0.4208261187950585,220.0
g12015,0.4500006483412692,192.0
g12017,0.5375220725688942,114.0
g12019,-0.3436902161843973,2765.0
g12021,0.2192859808022191,672.0
g12023,0.09752111272576561,1154.0
g12027,0.4649967923671393,173.0
g12029,0.3049600759386616,422.0
g12031,-0.18116301842362348,2386.0
g12033,-0.006755668682381283,1650.0
g12035,0.21226308912960878,697.0
